#Location,,,,,,,,,
#Site,,,,,,,,,
#Pit_ID,bogus1,,,,,,,,
#Date_Time,2022-03-2-1100,,,,,,,,
#UTM_Zone,,,,,,,,,
#Easting,,,,,,,,,
#Northing,,,,,,,,,
#Instrument,,,,,,,,,
#Profile_ID,,,,,,,,,
#Operator,Anna Valentine,,,,,,,,
#Timing,,,,,,,,,
#Notes,WET!,,,,,,,,
#Total_snow_depth(cm),110,,,,,,,,
#,,,,,,,,,
#Sample_signal(mV),Reflectance,Specific_surface_area(m^2/kg),Sample_top_height(cm),grain_type,density,Method,Air Temp,Snow Temp,Moisture
130,11.44,4.3,110,RG,259.5,shaved,4,-0.1,VW
130,11.44,4.3,110,RG,259.5,shaved,4,-0.1,VW
140,12.57,4.9,105,RG,259.5,shaved,4,-0.1,VW
164,15.23,6.4,105,RG,259.5,shaved,4,-0.1,VW
190,18.02,8.1,100,RG,347.5,crust,4,-0.1,VW
240,23.16,11.3,100,RG,347.5,no crust ?,4,-0.1,VW
282,27.26,14.1,95,IF,347.5,shaved,4,-0.1,VW
279,26.97,13.9,95,IF,347.5,shaved,4,-0.1,VW
281,27.16,14,90,RG,322,shaved,4,-0.1,VW
278,26.88,13.8,90,RG,322,shaved,4,-0.1,VW
295,28.49,15.1,85,RG,322,shaved,4,-0.1,VW
300,28.96,15.5,85,RG,322,shaved,4,-0.1,VW
275,26.59,13.6,80,RG,357,shaved,4,-0.1,VW
287,27.73,14.5,80,RG,357,shaved,4,-0.1,VW
306,29.51,15.9,75,RG,357,shaved,4,-0.1,VW
310,29.88,16.2,75,RG,357,shaved,4,-0.1,VW
302,29.14,15.6,70,RG,378.5,shaved,4,-0.1,VW
306,29.51,15.9,70,RG,378.5,shaved,4,-0.1,VW
290,28.02,14.7,65,RG,378.5,shaved,4,-0.1,VW
308,29.7,16.1,65,RG,378.5,shaved,4,-0.1,VW
305,29.42,15.8,60,RG,393.5,shaved,4,-0.1,VW
303,29.24,15.7,60,RG,393.5,shaved,4,-0.1,VW
295,28.49,15.1,55,RG,393.5,shaved,4,-0.1,VW
302,29.14,15.6,55,RG,393.5,shaved,4,-0.1,VW
305,29.42,15.8,50,RG,393,shaved,4,-0.1,W
285,27.54,14.3,50,RG,393,shaved,4,-0.1,W
276,26.69,13.7,45,RG,393,shaved,4,-0.1,W
282,27.26,14.1,45,RG,393,shaved,4,-0.1,W
291,28.11,14.8,40,RG,392,shaved,4,-0.1,W
283,27.35,14.2,40,RG,392,shaved,4,-0.1,W
246,23.76,11.7,35,RG,392,shaved,4,-0.1,W
260,25.14,12.6,35,RG,392,shaved,4,-0.1,W
272,26.3,13.4,30,RG,NaN,shaved,4,-0.1,W
273,26.4,13.5,30,RG,NaN,shaved,4,-0.1,W
251,24.25,12,25,RG,NaN,shaved,4,-0.1,W
252,24.35,12.1,25,RG,NaN,shaved,4,-0.1,W
270,26.11,13.3,20,RG,NaN,shaved,4,-0.1,W
260,25.14,12.6,20,RG,NaN,shaved,4,-0.1,W
222,21.35,10.1,15,RG,NaN,shaved,4,-0.1,W
248,23.96,11.8,15,RG,NaN,shaved,4,-0.1,W
240,23.16,11.3,15,RG,NaN,shaved,4,-0.1,W
220,21.14,10,10,RG,NaN,shaved,4,-0.1,W
187,17.71,7.9,10,RG,NaN,shaved,4,-0.1,W
205,19.6,9,5,RG,NaN,shaved,4,-0.1,W
216,20.73,9.7,5,RG,NaN,shaved,4,-0.1,W
