#Location,Fraser,,,,
#Site,Fraser Experimental Forest HQ,,,,
#Pit_ID,fraser3,,,,
#Date_Time,2022-02-24-1500,,,,
#UTM_Zone,13S,,,,
#Easting,424540,,,,
#Northing,4417651,,,,
#Top(cm),Bottom(cm),Density_A(kg/m^3),Density_B(kg/m^3),Density_C(kg/m^3),Avg_density(kg/m^3)
82,79,80,,,80
78,75,110,,,110
74,71,130,,,130
70,67,160,,,160
66,63,190,,,190
62,59,190,,,190
58,55,200,,,200
54,51,230,,,230
50,47,220,,,220
45,42,230,,,230
41,38,260,,,260
37,34,250,,,250
33,30,280,,,280
29,26,290,,,290
25,22,280,,,280
21,18,300,,,300
17,14,270,,,270
13,10,270,,,270
9,6,250,,,250
4,1,270,,,270
