#Location,Togwotee,,,,
#Site,Breccia Creek Bed,,,,
#Pit_ID,togwotee1,,,,
#Date_Time,2022-03-07-1440,,,,
#UTM_Zone,12T,,,,
#Easting,575086,,,,
#Northing,4846502,,,,
#Top(cm),Bottom(cm),Density_A(kg/m^3),Density_B(kg/m^3),Density_C(kg/m^3),Avg_density(kg/m^3)
155,145,98,100,,99
145,135,227,182,,204.5
135,125,251,258,,254.5
125,115,276,222,,249
115,105,255,300,,277.5
105,95,307,302,,304.5
95,85,339,327,,333
85,75,328,332,,330
75,65,336,329,,332.5
65,55,332,329,,330.5
55,45,330,302,,316
45,35,299,291,,295
35,25,326,327,,326.5
25,15,336,339,,337.5
15,5,309,309,,309
